NO;ÇAP;SPIRO BORU (Metre);90 DİRSEK;45 DİRSEK;T;REDÜKSİYON;MANŞON;KELEPÇE;KLAPE;JETKAP;KÖRTAPA;SAPLAMA;ŞAPKA
1;100;158.00;250.00;240.00;245.00;340.00;85.00;105.00;300.00;520.00;110.00;76.00;160.00
2;125;163.00;255.00;247.00;252.00;352.00;92.00;107.00;313.00;572.00;132.00;84.00;182.00
3;150;170.00;260.00;260.00;260.00;375.00;100.00;110.00;328.00;725.00;145.00;93.00;225.00
4;160;191.00;275.00;275.00;269.00;400.00;110.00;113.00;336.00;926.00;166.00;100.00;246.00
5;180;198.00;280.00;300.00;275.00;450.00;120.00;118.00;345.00;1020.00;170.00;115.00;340.00
6;200;220.00;290.00;320.00;282.00;475.00;125.00;123.00;360.00;1520.00;180.00;135.00;400.00
7;224;241.00;300.00;348.00;300.00;500.00;130.00;133.00;372.00;1875.00;195.00;145.00;450.00
8;250;303.00;336.00;355.00;325.00;530.00;135.00;150.00;418.00;2040.00;220.00;150.00;470.00
9;280;330.00;345.00;370.00;361.00;585.00;140.00;155.00;463.00;2485.00;225.00;163.00;480.00
10;300;365.00;360.00;385.00;396.00;600.00;145.00;165.00;493.00;2640.00;240.00;186.00;490.00
11;315;390.00;400.00;400.00;590.00;655.00;155.00;175.00;534.00;2775.00;280.00;197.00;525.00
12;350;446.00;460.00;430.00;620.00;680.00;165.00;185.00;618.00;2850.00;305.00;240.00;540.00
13;400;545.00;510.00;450.00;660.00;700.00;190.00;215.00;684.00;3260.00;345.00;272.00;610.00
14;450;620.00;670.00;480.00;690.00;720.00;220.00;240.00;846.00;3570.00;370.00;306.00;720.00
15;500;690.00;770.00;595.00;870.00;830.00;240.00;260.00;1018.00;4280.00;400.00;352.00;930.00
16;560;765.00;875.00;685.00;1185.00;935.00;265.00;275.00;1179.00;5085.00;435.00;405.00;1035.00
17;600;925.00;1040.00;875.00;1490.00;1010.00;315.00;300.00;1404.00;6290.00;490.00;475.00;1290.00
18;630;995.00;1195.00;995.00;1845.00;1095.00;345.00;320.00;1699.00;6895.00;515.00;545.00;1595.00
19;710;1170.00;1490.00;1340.00;2090.00;1850.00;365.00;325.00;2625.00;8090.00;590.00;640.00;1840.00
20;800;1250.00;2045.00;1595.00;2595.00;2215.00;405.00;370.00;3969.00;9595.00;795.00;945.00;2295.00
21;900;1660.00;3350.00;2800.00;3600.00;3120.00;475.00;405.00;5728.00;12000.00;950.00;1100.00;2900.00
22;1000;1925.00;5250.00;4000.00;4750.00;4040.00;500.00;430.00;6581.00;16000.00;1400.00;1400.00;3850.00
23;1125;2250.00;6000.00;4850.00;5800.00;4820.00;600.00;450.00;8178.00;18000.00;1650.00;1700.00;4500.00
24;1250;2750.00;6800.00;5750.00;6500.00;5900.00;800.00;550.00;10077.00;22000.00;1900.00;1900.00;5500.00
